SOURCE PKS0408-65 4.13900 -65.75249
FREQ 150e+6 flux 0 0 0
SHAPELET 54.63593 0.00012 0.00012
COEFF 0.0000000000000000e+00 0.0000000000000000e+00 9.5840014330469579e-04
COEFF 0.0000000000000000e+00 1.0000000000000000e+00 2.5635587186051274e-06
COEFF 0.0000000000000000e+00 2.0000000000000000e+00 -1.8363106834335533e-04
COEFF 0.0000000000000000e+00 3.0000000000000000e+00 9.8931381784506253e-06
COEFF 0.0000000000000000e+00 4.0000000000000000e+00 2.3696101895299403e-05
COEFF 0.0000000000000000e+00 5.0000000000000000e+00 -7.6557587801345398e-06
COEFF 0.0000000000000000e+00 6.0000000000000000e+00 4.6267338038104699e-06
COEFF 0.0000000000000000e+00 7.0000000000000000e+00 2.4338490528278912e-06
COEFF 0.0000000000000000e+00 8.0000000000000000e+00 -3.2964532367203023e-06
COEFF 0.0000000000000000e+00 9.0000000000000000e+00 9.3059605415112255e-07
COEFF 0.0000000000000000e+00 1.0000000000000000e+01 -5.6875707101520962e-07
COEFF 0.0000000000000000e+00 1.1000000000000000e+01 -1.8613801284194700e-06
COEFF 0.0000000000000000e+00 1.2000000000000000e+01 1.8443667042410558e-06
COEFF 0.0000000000000000e+00 1.3000000000000000e+01 1.3101567200875869e-06
COEFF 0.0000000000000000e+00 1.4000000000000000e+01 -1.2433026100917053e-06
COEFF 0.0000000000000000e+00 1.5000000000000000e+01 -3.2995476239441870e-07
COEFF 0.0000000000000000e+00 1.6000000000000000e+01 1.7648183658197841e-07
COEFF 0.0000000000000000e+00 1.7000000000000000e+01 -4.2524653709480359e-07
COEFF 0.0000000000000000e+00 1.8000000000000000e+01 5.4145049639683210e-07
COEFF 0.0000000000000000e+00 1.9000000000000000e+01 7.2998582221626522e-07
COEFF 0.0000000000000000e+00 2.0000000000000000e+01 -7.1664373241344893e-07
COEFF 0.0000000000000000e+00 2.1000000000000000e+01 -6.4120978053964247e-07
COEFF 0.0000000000000000e+00 2.2000000000000000e+01 4.9438877998613306e-07
COEFF 0.0000000000000000e+00 2.3000000000000000e+01 3.3041536003587287e-07
COEFF 0.0000000000000000e+00 2.4000000000000000e+01 -1.0599662202517338e-07
COEFF 0.0000000000000000e+00 2.5000000000000000e+01 3.4083418178950820e-08
COEFF 1.0000000000000000e+00 0.0000000000000000e+00 -4.2199496805673538e-05
COEFF 1.0000000000000000e+00 1.0000000000000000e+00 5.0004103536353906e-05
COEFF 1.0000000000000000e+00 2.0000000000000000e+00 -3.6095442987419474e-06
COEFF 1.0000000000000000e+00 3.0000000000000000e+00 -1.9200023396023826e-05
COEFF 1.0000000000000000e+00 4.0000000000000000e+00 3.6330709452147897e-06
COEFF 1.0000000000000000e+00 5.0000000000000000e+00 2.9128332091316187e-06
COEFF 1.0000000000000000e+00 6.0000000000000000e+00 5.8245125718901049e-08
COEFF 1.0000000000000000e+00 7.0000000000000000e+00 2.3235176546322463e-06
COEFF 1.0000000000000000e+00 8.0000000000000000e+00 -1.5336127153527999e-06
COEFF 1.0000000000000000e+00 9.0000000000000000e+00 -2.2718803817088422e-06
COEFF 1.0000000000000000e+00 1.0000000000000000e+01 1.2503414990534531e-06
COEFF 1.0000000000000000e+00 1.1000000000000000e+01 7.1642526024238449e-07
COEFF 1.0000000000000000e+00 1.2000000000000000e+01 -4.2510483071113828e-07
COEFF 1.0000000000000000e+00 1.3000000000000000e+01 5.4514822466470084e-07
COEFF 1.0000000000000000e+00 1.4000000000000000e+01 -2.1288300900268329e-07
COEFF 1.0000000000000000e+00 1.5000000000000000e+01 -1.0086835588527151e-06
COEFF 1.0000000000000000e+00 1.6000000000000000e+01 4.5669708764875918e-07
COEFF 1.0000000000000000e+00 1.7000000000000000e+01 8.1483669544538383e-07
COEFF 1.0000000000000000e+00 1.8000000000000000e+01 -3.9045082550893607e-07
COEFF 1.0000000000000000e+00 1.9000000000000000e+01 -3.0308691921919729e-07
COEFF 1.0000000000000000e+00 2.0000000000000000e+01 1.8163027535239319e-07
COEFF 1.0000000000000000e+00 2.1000000000000000e+01 -2.3061671075114041e-07
COEFF 1.0000000000000000e+00 2.2000000000000000e+01 3.2689458868398999e-08
COEFF 1.0000000000000000e+00 2.3000000000000000e+01 6.0461139089758538e-07
COEFF 1.0000000000000000e+00 2.4000000000000000e+01 -1.7225507227128456e-07
COEFF 2.0000000000000000e+00 0.0000000000000000e+00 -1.7928350908868657e-04
COEFF 2.0000000000000000e+00 1.0000000000000000e+00 -2.6843102054025337e-06
COEFF 2.0000000000000000e+00 2.0000000000000000e+00 2.5104627792697289e-05
COEFF 2.0000000000000000e+00 3.0000000000000000e+00 -5.3572800652696309e-07
COEFF 2.0000000000000000e+00 4.0000000000000000e+00 5.1690600175971194e-07
COEFF 2.0000000000000000e+00 5.0000000000000000e+00 -2.2308462097187689e-08
COEFF 2.0000000000000000e+00 6.0000000000000000e+00 -1.8851327128542722e-06
COEFF 2.0000000000000000e+00 7.0000000000000000e+00 1.0603928294175563e-06
COEFF 2.0000000000000000e+00 8.0000000000000000e+00 -1.4434318552728571e-07
COEFF 2.0000000000000000e+00 9.0000000000000000e+00 -1.3739218543532453e-06
COEFF 2.0000000000000000e+00 1.0000000000000000e+01 1.1349208776835757e-06
COEFF 2.0000000000000000e+00 1.1000000000000000e+01 9.9523861314284004e-07
COEFF 2.0000000000000000e+00 1.2000000000000000e+01 -9.9710044471096057e-07
COEFF 2.0000000000000000e+00 1.3000000000000000e+01 -3.3559749450400692e-07
